index,Article submissions
10/1/18,4.69E+03
11/1/18,4.73E+03
12/1/18,4.44E+03
1/1/19,4.84E+03
2/1/19,4.35E+03
3/1/19,4.62E+03
4/1/19,4.68E+03
5/1/19,4.99E+03
6/1/19,4.65E+03
7/1/19,5.29E+03
8/1/19,5.01E+03
9/1/19,5.27E+03
10/1/19,5.57E+03
11/1/19,5.63E+03
12/1/19,5.75E+03
1/1/20,5.76E+03
2/1/20,5.89E+03
3/1/20,6.52E+03
4/1/20,7.47E+03
5/1/20,8.24E+03
6/1/20,8.27E+03
7/1/20,8.83E+03
8/1/20,8.03E+03
9/1/20,8.45E+03
10/1/20,8.89E+03
11/1/20,8.92E+03
12/1/20,1.02E+04
1/1/21,1.05E+04
2/1/21,9.40E+03
3/1/21,1.14E+04
4/1/21,1.12E+04
5/1/21,1.13E+04
6/1/21,1.23E+04
7/1/21,1.37E+04
8/1/21,1.40E+04
9/1/21,1.43E+04
10/1/21,1.51E+04
11/1/21,1.58E+04
12/1/21,1.64E+04
1/1/22,1.63E+04
2/1/22,1.57E+04
3/1/22,1.93E+04
4/1/22,1.91E+04
5/1/22,2.06E+04
6/1/22,2.01E+04
7/1/22,2.06E+04
8/1/22,2.07E+04
9/1/22,2.11E+04
10/1/22,2.28E+04
11/1/22,2.36E+04
12/1/22,2.05E+04
1/1/23,1.85E+04
2/1/23,1.92E+04
3/1/23,1.93E+04
4/1/23,1.50E+04
5/1/23,1.58E+04
6/1/23,1.54E+04
7/1/23,1.50E+04
8/1/23,1.43E+04
9/1/23,1.45E+04
10/1/23,1.45E+04
11/1/23,1.37E+04
12/1/23,1.36E+04
1/1/24,1.42E+04
2/1/24,1.25E+04
3/1/24,1.43E+04
4/1/24,1.41E+04
5/1/24,1.40E+04
6/1/24,1.36E+04
7/1/24,1.46E+04
8/1/24,1.31E+04
9/1/24,1.33E+04
10/1/24,1.45E+04
11/1/24,1.44E+04
12/1/24,1.48E+04
1/1/25,1.35E+04
2/1/25,1.41E+04
3/1/25,1.67E+04
4/1/25,1.66E+04
5/1/25,1.66E+04
6/1/25,1.71E+04
7/1/25,1.92E+04
8/1/25,1.78E+04